city,sector,sqft,bhk,floor,total_floors,age_years,amenities_score,dist_metro_km,dist_cyber_city_km,parking_spaces,furnishing,property_type,price_inr
Gurgaon,Sector 56-57,1306,3,1,5,2,4.0,1.0,15.8,0,Unfurnished,Apartment,5333000.0
Gurgaon,Sector 56-57,1203,2,4,10,5,2.7,12.3,11.8,0,Semi-Furnished,Apartment,3563000.0
Gurgaon,Manesar,773,2,12,30,2,5.3,15.2,7.7,2,Unfurnished,Builder Floor,2207000.0
Gurgaon,Sohna Road,1384,3,1,20,6,3.4,1.8,11.2,2,Unfurnished,Apartment,7268000.0
Gurgaon,Manesar,622,1,1,5,2,4.6,14.5,22.9,0,Semi-Furnished,Builder Floor,1715000.0
Gurgaon,Sohna Road,1529,4,7,10,2,4.2,1.5,3.2,1,Semi-Furnished,Apartment,13535000.0
Gurgaon,Palam Vihar,1084,2,4,5,1,4.8,1.2,8.6,2,Semi-Furnished,Apartment,6004000.0
Gurgaon,Golf Course Road,2224,4,10,10,0,9.9,2.1,3.5,0,Semi-Furnished,Apartment,34463000.0
Gurgaon,Sector 56-57,1108,1,1,5,0,3.9,4.2,11.3,1,Unfurnished,Villa,5309000.0
Gurgaon,Sector 29,1440,2,33,40,2,5.1,0.2,9.5,3,Fully Furnished,Builder Floor,19997000.0
Gurgaon,Sector 29,2316,5,9,15,1,2.5,0.2,5.8,1,Unfurnished,Apartment,20041000.0
Gurgaon,Golf Course Road,2268,5,21,25,0,9.6,2.6,3.3,1,Semi-Furnished,Apartment,35603000.0
Gurgaon,New Gurgaon,1200,2,12,25,8,4.1,3.1,8.0,0,Semi-Furnished,Apartment,6400000.0
Gurgaon,Sohna Road,1184,3,4,10,0,7.0,0.8,15.9,2,Unfurnished,Apartment,7511000.0
Gurgaon,New Gurgaon,1510,4,1,10,3,6.8,4.9,5.5,3,Semi-Furnished,Builder Floor,11680000.0
Gurgaon,Manesar,996,3,9,40,1,3.9,6.5,13.5,3,Semi-Furnished,Builder Floor,4724000.0
Gurgaon,Sector 56-57,1449,3,1,15,7,2.5,1.8,3.5,0,Semi-Furnished,Apartment,8121000.0
Gurgaon,Manesar,960,2,12,40,2,1.0,4.5,16.0,2,Unfurnished,Apartment,2791000.0
Gurgaon,Sohna Road,1367,4,7,15,9,6.7,3.4,7.7,1,Unfurnished,Villa,10588000.0
Gurgaon,Golf Course Road,2277,5,11,20,9,8.4,0.3,2.5,2,Semi-Furnished,Apartment,35651000.0
Gurgaon,DLF Phase 1-3,1816,4,9,10,4,10.0,1.5,0.5,0,Semi-Furnished,Apartment,25878000.0
Gurgaon,Manesar,724,1,17,40,32,3.1,3.7,5.0,3,Fully Furnished,Apartment,2381000.0
Gurgaon,Sohna Road,1138,2,9,20,16,6.9,1.8,8.3,0,Semi-Furnished,Apartment,7234000.0
Gurgaon,Sector 56-57,1039,1,10,25,1,2.6,0.2,6.9,2,Semi-Furnished,Apartment,6986000.0
Gurgaon,Palam Vihar,897,2,20,25,8,4.0,10.5,11.0,0,Semi-Furnished,Villa,3701000.0
Gurgaon,New Gurgaon,1186,1,31,40,36,5.7,0.9,9.9,2,Unfurnished,Builder Floor,5964000.0
Gurgaon,Sector 29,1265,2,21,40,1,5.1,3.2,18.6,1,Semi-Furnished,Apartment,10570000.0
Gurgaon,Sector 56-57,857,2,1,5,3,3.6,5.7,14.5,1,Semi-Furnished,Builder Floor,5395000.0
Gurgaon,DLF Phase 1-3,1507,3,0,15,2,7.7,2.9,2.2,1,Unfurnished,Apartment,17794000.0
Gurgaon,Sohna Road,1402,3,26,40,9,5.1,1.8,8.1,3,Semi-Furnished,Apartment,9695000.0
Gurgaon,Manesar,889,2,35,40,1,5.7,0.2,11.8,0,Unfurnished,Villa,6302000.0
Gurgaon,Palam Vihar,721,1,5,25,0,6.6,7.8,3.9,0,Unfurnished,Apartment,4069000.0
Gurgaon,Sohna Road,1306,3,10,25,11,4.1,0.3,15.4,1,Fully Furnished,Apartment,7051000.0
Gurgaon,New Gurgaon,1367,3,11,25,8,6.2,0.9,3.5,1,Semi-Furnished,Villa,14791000.0
Gurgaon,Sohna Road,1283,3,11,40,1,5.6,2.7,6.4,3,Semi-Furnished,Apartment,9144000.0
Gurgaon,Palam Vihar,907,1,5,15,22,4.4,7.0,5.6,0,Unfurnished,Apartment,2754000.0
Gurgaon,Sohna Road,1401,2,15,30,8,6.2,6.8,13.6,1,Fully Furnished,Apartment,8695000.0
Gurgaon,Palam Vihar,900,2,6,10,0,5.2,0.2,9.4,0,Fully Furnished,Apartment,6965000.0
Gurgaon,Palam Vihar,1419,4,13,20,11,4.8,4.6,7.9,1,Unfurnished,Apartment,3877000.0
Gurgaon,New Gurgaon,1331,2,11,15,5,5.5,3.5,0.9,1,Unfurnished,Villa,10797000.0
Gurgaon,New Gurgaon,1302,2,7,20,3,6.4,0.6,12.6,0,Semi-Furnished,Apartment,9191000.0
Gurgaon,DLF Phase 1-3,1818,5,9,10,6,6.8,0.9,4.8,1,Semi-Furnished,Apartment,23764000.0
Gurgaon,DLF Phase 1-3,1967,5,9,10,1,7.4,2.5,7.4,0,Unfurnished,Apartment,21135000.0
Gurgaon,Sector 56-57,793,3,16,30,13,6.4,0.4,13.0,1,Semi-Furnished,Apartment,4419000.0
Gurgaon,Sector 29,1427,4,20,25,9,5.9,5.1,10.0,1,Semi-Furnished,Apartment,12321000.0
Gurgaon,New Gurgaon,851,3,12,30,3,6.0,4.1,8.0,1,Semi-Furnished,Villa,7928000.0
Gurgaon,Sector 29,1652,5,9,20,0,7.9,2.3,10.8,0,Semi-Furnished,Apartment,16265000.0
Gurgaon,DLF Phase 1-3,1455,4,6,10,13,10.0,2.1,0.9,0,Unfurnished,Apartment,17619000.0
Gurgaon,Sohna Road,1349,4,1,5,4,5.9,0.7,10.5,2,Semi-Furnished,Apartment,9764000.0
Gurgaon,Sector 29,2218,5,26,40,9,7.4,9.0,11.1,1,Semi-Furnished,Apartment,16745000.0
Gurgaon,Sector 29,1196,3,17,25,5,7.2,0.6,8.6,2,Unfurnished,Builder Floor,12292000.0
Gurgaon,New Gurgaon,1499,2,1,15,1,7.2,8.3,11.2,1,Semi-Furnished,Apartment,5081000.0
Gurgaon,Sector 29,1125,2,9,10,6,6.0,12.6,10.3,0,Fully Furnished,Apartment,7982000.0
Gurgaon,Palam Vihar,1126,2,14,40,10,3.1,3.5,8.7,0,Unfurnished,Builder Floor,5387000.0
Gurgaon,Palam Vihar,712,1,14,20,9,3.3,1.8,4.9,1,Unfurnished,Builder Floor,4495000.0
Gurgaon,Palam Vihar,1112,2,9,15,10,3.8,1.4,2.1,2,Semi-Furnished,Apartment,5808000.0
Gurgaon,Golf Course Road,2056,5,8,30,0,5.6,3.1,0.5,0,Fully Furnished,Builder Floor,31850000.0
Gurgaon,Manesar,876,3,8,15,18,4.9,2.9,14.5,1,Semi-Furnished,Apartment,2538000.0
Gurgaon,Sohna Road,1259,1,22,25,3,4.7,1.0,11.9,2,Unfurnished,Builder Floor,9495000.0
Gurgaon,Sector 56-57,1055,3,19,40,23,4.7,1.0,10.8,0,Unfurnished,Apartment,2839000.0
Gurgaon,DLF Phase 1-3,1785,4,10,10,14,6.7,4.3,2.3,0,Fully Furnished,Apartment,23190000.0
Gurgaon,New Gurgaon,875,2,13,40,0,7.2,12.5,9.2,0,Unfurnished,Apartment,3389000.0
Gurgaon,Manesar,1013,2,4,10,0,5.5,0.5,6.4,0,Fully Furnished,Builder Floor,7005000.0
Gurgaon,Manesar,583,2,15,15,0,5.9,0.2,13.1,1,Unfurnished,Apartment,2487000.0
Gurgaon,Golf Course Road,1692,5,14,20,14,7.4,0.2,6.8,3,Fully Furnished,Apartment,25711000.0
Gurgaon,Sohna Road,1758,3,9,15,0,5.0,2.1,5.1,1,Fully Furnished,Apartment,15525000.0
Gurgaon,Sector 29,1708,4,1,25,2,7.0,2.1,15.6,0,Semi-Furnished,Builder Floor,19491000.0
Gurgaon,Golf Course Road,2133,5,25,30,7,7.6,0.5,5.2,0,Semi-Furnished,Builder Floor,32238000.0
Gurgaon,New Gurgaon,1057,1,1,20,1,5.9,2.2,12.8,1,Semi-Furnished,Apartment,7384000.0
Gurgaon,Golf Course Road,2565,5,8,25,4,5.1,2.1,4.9,0,Fully Furnished,Apartment,38243000.0
Gurgaon,New Gurgaon,1364,4,3,10,6,6.5,0.7,12.4,1,Fully Furnished,Builder Floor,13366000.0
Gurgaon,Sector 56-57,882,3,23,30,7,3.0,13.2,2.2,1,Unfurnished,Apartment,3271000.0
Gurgaon,Sector 56-57,876,1,6,15,3,3.5,1.7,6.2,0,Unfurnished,Apartment,4502000.0
Gurgaon,Manesar,555,1,5,5,9,2.1,2.4,3.2,3,Semi-Furnished,Villa,3461000.0
Gurgaon,Palam Vihar,1057,3,34,40,3,4.1,3.0,6.6,2,Fully Furnished,Builder Floor,6983000.0
Gurgaon,DLF Phase 1-3,1382,4,1,40,5,8.2,0.3,4.5,1,Semi-Furnished,Apartment,17765000.0
Gurgaon,Sohna Road,1707,5,24,30,1,6.1,0.7,3.3,1,Semi-Furnished,Apartment,14442000.0
Gurgaon,Sector 56-57,1130,2,1,15,3,4.3,1.5,12.1,0,Semi-Furnished,Builder Floor,7727000.0
Gurgaon,Sector 29,1386,3,11,25,1,5.4,0.3,5.1,0,Semi-Furnished,Apartment,14317000.0
Gurgaon,Sohna Road,1474,3,21,40,10,5.9,7.2,13.3,1,Unfurnished,Apartment,5538000.0
Gurgaon,New Gurgaon,1290,3,6,25,4,7.9,0.8,9.1,2,Unfurnished,Apartment,9134000.0
Gurgaon,Golf Course Road,1550,5,20,20,5,6.8,0.9,1.1,1,Semi-Furnished,Builder Floor,23650000.0
Gurgaon,Sohna Road,1181,2,29,30,3,6.6,0.7,9.2,0,Semi-Furnished,Builder Floor,11464000.0
Gurgaon,Golf Course Road,1796,4,21,25,17,7.9,1.3,9.1,0,Semi-Furnished,Builder Floor,26979000.0
Gurgaon,Sector 29,1732,3,2,5,7,4.9,2.0,14.3,0,Unfurnished,Builder Floor,16669000.0
Gurgaon,Palam Vihar,1228,3,14,25,1,1.4,17.2,8.4,0,Fully Furnished,Apartment,3738000.0
Gurgaon,Palam Vihar,1110,2,16,20,0,4.7,1.6,7.8,1,Unfurnished,Villa,8295000.0
Gurgaon,Manesar,704,2,5,5,0,3.8,2.7,13.4,2,Unfurnished,Apartment,2150000.0
Gurgaon,Palam Vihar,818,1,18,40,0,4.6,21.1,13.7,1,Unfurnished,Builder Floor,2341000.0
Gurgaon,DLF Phase 1-3,1515,4,0,10,9,3.5,0.3,8.0,0,Fully Furnished,Apartment,18425000.0
Gurgaon,Sector 56-57,1198,3,4,20,1,2.7,3.3,9.7,2,Semi-Furnished,Builder Floor,6436000.0
Gurgaon,New Gurgaon,1493,4,13,30,0,6.4,6.2,3.1,0,Fully Furnished,Builder Floor,13019000.0
Gurgaon,Sector 56-57,955,2,23,25,0,3.9,2.0,12.3,0,Fully Furnished,Apartment,6585000.0
Gurgaon,Manesar,697,1,0,40,4,1.7,4.9,9.5,1,Semi-Furnished,Apartment,2246000.0
Gurgaon,Sector 56-57,1106,2,10,40,3,4.1,3.5,7.1,2,Semi-Furnished,Apartment,5214000.0
Gurgaon,Sohna Road,1591,4,16,40,7,4.6,1.8,13.5,1,Semi-Furnished,Builder Floor,13795000.0
Gurgaon,New Gurgaon,1145,3,25,25,9,6.3,3.7,10.6,0,Semi-Furnished,Apartment,6826000.0
Gurgaon,Sohna Road,1252,3,0,5,0,5.0,5.2,17.4,0,Semi-Furnished,Apartment,6315000.0
Gurgaon,Palam Vihar,962,2,25,25,2,3.8,7.8,6.7,1,Unfurnished,Villa,5004000.0
Gurgaon,Sohna Road,833,1,7,30,0,6.2,5.1,5.9,0,Unfurnished,Apartment,5528000.0
Gurgaon,DLF Phase 1-3,997,3,6,40,0,3.8,1.2,3.3,2,Fully Furnished,Apartment,11405000.0
Gurgaon,New Gurgaon,1272,2,0,5,0,5.6,2.6,15.7,0,Semi-Furnished,Apartment,4888000.0
Gurgaon,DLF Phase 1-3,2258,5,12,20,1,8.3,2.9,5.2,0,Semi-Furnished,Apartment,28388000.0
Gurgaon,Palam Vihar,1020,3,23,30,2,5.4,3.1,5.0,0,Fully Furnished,Apartment,7496000.0
Gurgaon,Golf Course Road,2185,4,17,40,0,9.3,0.2,6.5,2,Semi-Furnished,Apartment,33559000.0
Gurgaon,Golf Course Road,2325,5,4,15,1,7.0,2.9,5.6,1,Unfurnished,Apartment,30813000.0
Gurgaon,Sector 29,1796,5,5,5,0,4.9,1.9,9.3,1,Fully Furnished,Apartment,19405000.0
Gurgaon,Manesar,1255,5,4,20,1,1.2,5.6,2.0,1,Semi-Furnished,Apartment,5274000.0
Gurgaon,Palam Vihar,1026,4,4,15,11,2.5,1.8,9.8,0,Unfurnished,Builder Floor,6214000.0
Gurgaon,Sohna Road,1030,2,29,30,2,4.4,2.0,21.7,0,Unfurnished,Apartment,5956000.0
Gurgaon,DLF Phase 1-3,1702,4,4,20,13,5.8,0.2,1.4,0,Semi-Furnished,Apartment,21311000.0
Gurgaon,Golf Course Road,1890,4,9,20,2,7.1,1.2,0.5,0,Unfurnished,Apartment,29860000.0
Gurgaon,Palam Vihar,917,2,7,40,2,6.4,0.2,10.6,2,Unfurnished,Apartment,4714000.0
Gurgaon,Sector 56-57,931,3,14,25,2,5.4,6.0,10.9,0,Unfurnished,Apartment,4049000.0
Gurgaon,Golf Course Road,2360,5,0,15,0,6.7,1.9,0.5,2,Semi-Furnished,Builder Floor,33947000.0
Gurgaon,New Gurgaon,1363,4,20,25,19,6.2,24.8,12.7,0,Semi-Furnished,Apartment,3579000.0
Gurgaon,Palam Vihar,930,1,0,10,1,3.6,5.5,13.5,1,Fully Furnished,Apartment,3392000.0
Gurgaon,Sector 29,1360,3,3,40,3,6.9,1.2,7.2,0,Unfurnished,Apartment,14318000.0
Gurgaon,Sohna Road,1368,3,10,15,1,8.5,0.6,15.4,0,Unfurnished,Apartment,8467000.0
Gurgaon,Sector 56-57,885,2,7,30,0,3.3,10.7,8.0,1,Semi-Furnished,Builder Floor,4303000.0
Gurgaon,New Gurgaon,1351,4,13,30,0,5.6,0.4,17.0,1,Fully Furnished,Apartment,6529000.0
Gurgaon,Sector 29,1747,3,32,40,1,3.5,0.2,8.4,1,Fully Furnished,Apartment,20172000.0
Gurgaon,Golf Course Road,2424,5,16,30,16,8.1,3.1,0.5,1,Fully Furnished,Builder Floor,38915000.0
Gurgaon,Sohna Road,1642,5,17,40,0,6.1,0.8,8.3,0,Semi-Furnished,Builder Floor,16012000.0
Gurgaon,Sohna Road,2103,4,10,15,18,4.5,3.9,10.4,0,Unfurnished,Apartment,9102000.0
Gurgaon,DLF Phase 1-3,1968,5,1,5,2,8.1,1.6,0.5,1,Semi-Furnished,Apartment,27154000.0
Gurgaon,Golf Course Road,2484,5,18,25,12,10.0,1.5,4.8,0,Semi-Furnished,Apartment,38049000.0
Gurgaon,Sohna Road,1663,4,13,15,2,5.5,1.1,2.4,1,Fully Furnished,Builder Floor,14999000.0
Gurgaon,Sector 29,1623,3,5,25,10,6.2,1.5,4.5,3,Semi-Furnished,Builder Floor,18270000.0
Gurgaon,DLF Phase 1-3,1604,4,4,10,1,9.4,0.6,2.5,1,Semi-Furnished,Villa,26096000.0
Gurgaon,Golf Course Road,2517,5,39,40,2,5.8,0.7,0.5,1,Unfurnished,Builder Floor,43285000.0
Gurgaon,Sector 56-57,1042,2,21,25,23,4.0,5.5,12.0,0,Fully Furnished,Builder Floor,4343000.0
Gurgaon,Sector 29,1554,3,11,15,1,6.1,0.9,14.2,2,Semi-Furnished,Builder Floor,14955000.0
Gurgaon,Sector 56-57,1085,2,12,30,8,2.8,5.2,5.7,2,Semi-Furnished,Apartment,5115000.0
Gurgaon,Golf Course Road,2674,5,8,10,3,9.7,1.9,8.8,1,Fully Furnished,Apartment,43140000.0
Gurgaon,Golf Course Road,2468,5,0,25,2,7.5,1.9,0.5,1,Semi-Furnished,Apartment,39167000.0
Gurgaon,Manesar,916,1,0,15,7,5.3,1.1,11.3,0,Unfurnished,Villa,5489000.0
Gurgaon,Palam Vihar,889,2,22,25,9,4.8,3.1,2.3,0,Semi-Furnished,Villa,6510000.0
Gurgaon,Manesar,985,2,12,25,13,3.6,0.2,7.7,0,Semi-Furnished,Apartment,3510000.0
Gurgaon,Sohna Road,1360,3,14,40,0,3.9,4.5,15.8,0,Fully Furnished,Apartment,8779000.0
Gurgaon,DLF Phase 1-3,1869,4,4,20,4,7.7,0.4,0.5,1,Unfurnished,Builder Floor,26707000.0
Gurgaon,Manesar,709,2,6,30,9,5.9,8.6,8.8,1,Unfurnished,Villa,4483000.0
Gurgaon,DLF Phase 1-3,1966,5,32,40,7,5.5,2.1,2.6,1,Unfurnished,Apartment,22359000.0
Gurgaon,Sector 29,1790,4,12,20,9,6.3,1.4,8.8,1,Unfurnished,Apartment,14936000.0
Gurgaon,Manesar,841,1,13,40,7,1.8,7.7,8.8,0,Fully Furnished,Apartment,2336000.0
Gurgaon,Golf Course Road,1736,5,2,5,4,4.6,0.4,4.1,0,Semi-Furnished,Villa,27145000.0
Gurgaon,Sohna Road,1412,3,27,40,0,6.2,0.8,15.1,0,Unfurnished,Builder Floor,12977000.0
Gurgaon,Sector 56-57,961,2,0,15,12,1.2,2.2,10.9,0,Semi-Furnished,Apartment,3891000.0
Gurgaon,Sector 29,1364,3,4,5,1,6.4,4.9,10.4,1,Fully Furnished,Apartment,13646000.0
Gurgaon,Manesar,984,2,21,30,13,3.4,1.3,10.2,1,Fully Furnished,Apartment,3345000.0
Gurgaon,Manesar,994,1,5,15,9,4.9,4.7,17.6,2,Unfurnished,Apartment,3150000.0
Gurgaon,Sohna Road,1304,3,0,5,3,7.7,1.3,17.4,0,Semi-Furnished,Apartment,7882000.0
Gurgaon,Sector 29,1620,3,18,25,4,5.4,0.8,4.9,2,Unfurnished,Apartment,16893000.0
Gurgaon,Manesar,1089,2,23,30,1,6.7,2.3,7.3,2,Fully Furnished,Villa,7946000.0
Gurgaon,Manesar,988,2,13,20,0,2.2,1.0,16.0,0,Unfurnished,Apartment,2941000.0
Gurgaon,Sohna Road,1472,2,4,25,1,7.9,0.7,14.1,0,Unfurnished,Builder Floor,14547000.0
Gurgaon,Golf Course Road,2138,5,0,10,6,8.8,1.4,0.6,0,Unfurnished,Apartment,35158000.0
Gurgaon,Sohna Road,1180,3,0,10,1,6.5,0.2,4.6,1,Fully Furnished,Apartment,11191000.0
Gurgaon,Palam Vihar,1161,2,13,15,1,5.6,5.3,5.3,1,Semi-Furnished,Apartment,5617000.0
Gurgaon,New Gurgaon,868,2,3,15,1,7.0,0.8,7.7,0,Fully Furnished,Builder Floor,8815000.0
Gurgaon,Palam Vihar,1258,1,16,25,3,1.7,0.3,13.0,2,Unfurnished,Apartment,5173000.0
Gurgaon,Manesar,779,2,18,20,0,5.6,12.5,13.3,0,Semi-Furnished,Apartment,2398000.0
Gurgaon,Palam Vihar,1062,3,16,30,0,4.4,0.9,2.9,2,Unfurnished,Apartment,7018000.0
Gurgaon,Golf Course Road,2012,5,17,25,37,9.6,2.7,2.1,2,Unfurnished,Apartment,29412000.0
Gurgaon,New Gurgaon,968,2,1,15,0,7.3,1.3,12.3,0,Semi-Furnished,Apartment,6583000.0
Gurgaon,DLF Phase 1-3,869,2,1,40,1,8.0,0.5,10.5,1,Semi-Furnished,Apartment,11505000.0
Gurgaon,Sector 56-57,1072,2,21,30,5,4.0,0.3,5.4,1,Semi-Furnished,Apartment,6516000.0
Gurgaon,Sector 29,1836,3,0,5,8,9.1,1.1,12.7,1,Semi-Furnished,Apartment,17162000.0
Gurgaon,Sohna Road,1452,4,19,30,3,3.9,14.8,13.9,1,Unfurnished,Villa,4815000.0
Gurgaon,Palam Vihar,976,1,3,20,8,4.6,1.3,13.2,2,Semi-Furnished,Builder Floor,5671000.0
Gurgaon,DLF Phase 1-3,2071,4,1,15,2,7.5,0.6,0.5,0,Fully Furnished,Apartment,28585000.0
Gurgaon,New Gurgaon,1162,1,10,15,4,5.4,3.7,12.0,2,Semi-Furnished,Villa,10369000.0
Gurgaon,DLF Phase 1-3,1862,3,3,10,35,9.6,0.5,0.5,2,Unfurnished,Apartment,16079000.0
Gurgaon,Sector 56-57,1528,3,17,40,6,2.2,6.5,3.1,0,Fully Furnished,Apartment,7218000.0
Gurgaon,Sector 29,1337,3,1,20,8,5.4,6.9,12.3,2,Unfurnished,Apartment,10190000.0
Gurgaon,New Gurgaon,1415,1,2,10,11,4.8,3.7,5.9,0,Semi-Furnished,Apartment,7783000.0
Gurgaon,Sector 56-57,1276,2,0,40,2,4.8,0.2,7.8,0,Semi-Furnished,Apartment,6267000.0
Gurgaon,Manesar,905,2,20,25,4,2.5,5.8,17.8,1,Fully Furnished,Apartment,2971000.0
Gurgaon,Sector 29,2046,5,12,15,4,6.1,0.6,14.9,0,Semi-Furnished,Apartment,15527000.0
Gurgaon,Golf Course Road,2502,5,0,30,5,10.0,3.1,5.8,0,Unfurnished,Villa,43203000.0
Gurgaon,Manesar,995,2,8,40,5,5.1,0.3,14.1,1,Semi-Furnished,Builder Floor,5611000.0
Gurgaon,Manesar,605,1,10,40,0,3.4,4.3,11.0,1,Semi-Furnished,Builder Floor,2686000.0
Gurgaon,Manesar,734,1,4,25,3,3.8,10.8,10.9,1,Unfurnished,Apartment,2216000.0
Gurgaon,Sector 56-57,1286,3,8,25,8,4.8,4.9,14.7,0,Semi-Furnished,Villa,6716000.0
Gurgaon,Sohna Road,1201,2,6,40,4,5.1,1.9,14.9,3,Fully Furnished,Villa,11965000.0
Gurgaon,Sohna Road,1388,2,25,30,2,6.6,0.2,10.3,0,Fully Furnished,Apartment,11828000.0
Gurgaon,New Gurgaon,1075,2,18,30,0,4.2,0.2,11.2,0,Unfurnished,Builder Floor,7998000.0
Gurgaon,Golf Course Road,1967,4,1,10,5,7.0,0.8,0.5,0,Unfurnished,Builder Floor,30438000.0
Gurgaon,Sector 56-57,1118,2,7,20,0,3.5,0.9,9.7,0,Semi-Furnished,Apartment,7567000.0
Gurgaon,New Gurgaon,1193,2,10,10,0,6.3,1.0,15.2,0,Fully Furnished,Builder Floor,10735000.0
Gurgaon,Manesar,897,2,36,40,11,5.0,0.6,14.6,1,Unfurnished,Apartment,2655000.0
Gurgaon,Palam Vihar,1023,2,15,25,15,4.7,0.5,11.5,2,Semi-Furnished,Apartment,3147000.0
Gurgaon,Sector 29,1998,4,3,15,10,4.5,3.1,5.1,1,Fully Furnished,Apartment,19721000.0
Gurgaon,DLF Phase 1-3,1778,4,18,25,0,9.7,1.5,3.5,0,Semi-Furnished,Builder Floor,24733000.0
Gurgaon,Golf Course Road,2130,5,7,15,5,7.4,0.2,3.7,1,Unfurnished,Apartment,30451000.0
Gurgaon,Sector 29,1467,3,4,10,12,5.0,4.7,15.2,2,Semi-Furnished,Apartment,8433000.0
Gurgaon,Sector 29,1160,3,15,15,0,4.6,15.5,11.7,0,Unfurnished,Apartment,7550000.0
Gurgaon,Sohna Road,1213,2,4,5,4,8.6,3.1,10.2,2,Unfurnished,Builder Floor,9943000.0
Gurgaon,New Gurgaon,1380,3,8,40,2,4.4,1.5,17.2,1,Semi-Furnished,Villa,13576000.0
Gurgaon,Golf Course Road,2292,4,16,25,12,8.9,0.3,0.5,2,Fully Furnished,Apartment,36577000.0
Gurgaon,Sector 29,1438,3,10,25,4,4.2,1.5,6.9,0,Fully Furnished,Apartment,13641000.0
Gurgaon,DLF Phase 1-3,1807,4,0,5,9,6.3,7.5,9.6,3,Unfurnished,Builder Floor,19013000.0
Gurgaon,New Gurgaon,1057,2,10,15,1,5.4,2.4,7.3,0,Semi-Furnished,Apartment,6809000.0
Gurgaon,New Gurgaon,1259,2,5,10,28,5.7,1.4,7.0,1,Unfurnished,Apartment,4777000.0
Gurgaon,Palam Vihar,677,1,10,10,4,5.6,0.3,1.3,1,Unfurnished,Apartment,4449000.0
Gurgaon,DLF Phase 1-3,2482,5,15,20,8,7.2,1.5,1.0,0,Semi-Furnished,Builder Floor,38873000.0
Gurgaon,Golf Course Road,2085,4,0,15,6,8.1,3.3,1.3,2,Unfurnished,Apartment,28355000.0
Gurgaon,Golf Course Road,2536,5,12,20,3,6.6,1.4,1.5,1,Semi-Furnished,Apartment,35908000.0
Gurgaon,Sohna Road,1058,3,16,20,7,7.9,1.6,14.4,0,Fully Furnished,Apartment,8120000.0
Gurgaon,Sector 56-57,852,1,5,5,18,4.0,5.9,9.8,0,Semi-Furnished,Apartment,2704000.0
Gurgaon,New Gurgaon,1303,1,5,15,0,7.3,3.3,6.9,1,Unfurnished,Builder Floor,9212000.0
Gurgaon,Sohna Road,1371,2,3,10,13,7.7,1.7,8.7,0,Semi-Furnished,Apartment,9103000.0
Gurgaon,New Gurgaon,1223,3,0,15,8,8.8,0.2,9.4,0,Unfurnished,Apartment,7327000.0
Gurgaon,Sohna Road,1846,4,4,5,1,8.5,2.5,10.6,3,Semi-Furnished,Apartment,17010000.0
Gurgaon,Sector 56-57,1113,2,12,15,0,5.5,9.9,10.7,1,Semi-Furnished,Apartment,5727000.0
Gurgaon,Sohna Road,1152,3,30,30,1,6.5,6.2,11.2,0,Fully Furnished,Apartment,8395000.0
